Customer,Total Queries (July),Total Queries (Aug) Adjusted,Total Queries (Aug),Avg MB Scanned (Aug),Avg Execution Secs (Aug),Max Execution Secs (Aug),Query Growth %,Significant Growth,Usage Category,Growth Category
DPHMH,38.0,5.961538461538462,5,0.0,2.0114,10.031,-84.31174089068826,No,No Usage,Stable
DRENK,-,5.961538461538462,5,0.0,2.0398,10.173,-,No,No Usage,New Customer
DRKCT,-,5.961538461538462,5,0.0,1.9194,9.57,-,No,No Usage,New Customer
DRUMMOND,-,5.961538461538462,5,0.0,1.3554,6.748,-,No,No Usage,New Customer
EARTH,-,13.115384615384617,11,0.0,1.5299090909090909,8.77,-,No,No Usage,New Customer
EMRGC,661.0,276.61538461538464,232,55.416624883620685,0.6089310344827585,5.907,-58.151984173164195,Yes,Very Low Usage,Negative Growth
ERDGH,-,5.961538461538462,5,0.0,2.1524,10.717,-,No,No Usage,New Customer
FAMOUT,14.0,22.65384615384616,19,17.349867894736843,1.014421052631579,3.612,61.8131868131868,No,No Usage,Stable
FCAWEB,-,491.2307692307692,412,85.64957461650485,0.842509708737864,6.614,-,No,Low Usage,New Customer
FCDHS,319.0,48.88461538461538,41,14.467951146341465,0.561,5.934,-84.6756691584278,Yes,Very Low Usage,Stable
FGCWC,-,5.961538461538462,5,0.0,0.8454,4.201,-,No,No Usage,New Customer
FMRSH,673.0,56.03846153846154,47,59.22900763829787,1.1812978723404255,9.746,-91.67333409532517,Yes,Very Low Usage,Stable
FSVCA,-,525.8076923076923,441,147.6073137142857,2.4375736961451246,23.165,-,No,Low Usage,New Customer
GAAACSB,67.0,84.65384615384616,71,65.35904516901408,1.3386197183098592,9.897,26.34902411021815,No,Very Low Usage,Stable
GAAHOPE,-,5.961538461538462,5,0.0,1.6164,8.057,-,No,No Usage,New Customer
GABMC,-,5.961538461538462,5,0.0,1.1002,5.474,-,No,No Usage,New Customer
GACARING,152.0,1681.1538461538462,1410,16.264154669503547,0.3648127659574467,8.564,1006.0222672064776,Yes,Medium Usage,High Growth
GACFI,74.0,29.80769230769231,25,27.70847032,0.84628,7.555,-59.71933471933472,No,No Usage,Stable
GACOBB,-,5.961538461538462,5,0.0,0.493,2.434,-,No,No Usage,New Customer
GADUGCB,-,5.961538461538462,5,0.0,1.7998,8.974,-,No,No Usage,New Customer
GAFLNCN,-,5.961538461538462,5,0.0,1.6558,8.255,-,No,No Usage,New Customer
GAGTWY,68.0,126.38461538461536,106,323.7844463113208,2.8188867924528305,33.98,85.85972850678732,Yes,Very Low Usage,High Growth
GAHLND,15056.0,13681.73076923077,11475,276.6699234653595,0.9814120261437907,43.996,-9.127718057712743,No,Extremely High Usage,Stable
GAHORIZONS,17315.0,19991.423076923074,16767,44.47803096057732,0.8980492634341266,18.084,15.45725138274949,No,Extremely High Usage,Low Growth
GAIT,2090.0,2525.3076923076924,2118,318.3006000944287,2.891947119924457,82.504,20.828119249171884,No,High Usage,Low Growth
GALKT,779.0,727.3076923076923,610,482.55466361967217,4.173404918032787,61.859,-6.635726276291108,No,High Usage,Stable
GAMFBHC,-,13.115384615384617,11,0.0,0.5907272727272728,3.665,-,No,No Usage,New Customer
GAPINES,1475.0,637.8846153846154,535,104.5589778093458,0.917207476635514,10.191,-56.7535853976532,Yes,Low Usage,Negative Growth
GAPTPRO,-,5.961538461538462,5,0.0,1.6342,8.139,-,No,No Usage,New Customer
GARCVPL,68.0,382.7307692307692,321,19.91119425856698,0.4055420560747663,10.688,462.8393665158371,Yes,Low Usage,High Growth
GATRINS,-,5.961538461538462,5,0.0,1.1252,5.594,-,No,No Usage,New Customer
GAVASHT,-,11.923076923076923,10,0.0,2.0493,13.011,-,No,No Usage,New Customer
GBCTR,988.0,1279.3461538461538,1073,94.52894006989747,0.8110149114631874,27.45,29.488477109934596,No,Medium Usage,Medium Growth
GGMHC,-,5.961538461538462,5,0.0,0.6372,3.161,-,No,No Usage,New Customer
GROGA,-,5.961538461538462,5,0.0,1.3126,6.537,-,No,No Usage,New Customer
HAMDN,1127.0,1488.0,1248,16.23129303605769,0.6670625,9.752,32.03194321206744,Yes,Medium Usage,Medium Growth
HAYMKT,-,5.961538461538462,5,0.0,1.3906,6.923,-,No,No Usage,New Customer
HRZNH,-,5.961538461538462,5,0.0,0.7062,3.478,-,No,No Usage,New Customer
HVMHC,2405.0,1823.0384615384608,1529,153.39190991824722,1.0977370830608242,9.361,-24.197984967215742,No,Medium Usage,Negative Growth
IAAHFA,-,11.923076923076923,10,0.0,0.7603,4.884,-,No,No Usage,New Customer
IACIOWA,598.0,1660.8846153846157,1393,9.717243257717158,0.2038951902368987,10.834,177.73990223823003,Yes,Medium Usage,High Growth
IAFOUNDATION,173.0,79.88461538461539,67,293.48945341791045,1.5249402985074627,5.661,-53.82392174299688,Yes,Very Low Usage,Stable
IALUTSV,6197.0,1321.076923076923,1108,89.5977819801444,0.6505938628158844,12.189,-78.6819925274016,Yes,Medium Usage,Negative Growth
IAYHFS,98.0,122.8076923076923,103,18.58693517475728,0.5318932038834951,6.461,25.313971742543167,No,Very Low Usage,Medium Growth
IAYTHSS,261.0,5.961538461538462,5,0.0,0.8715999999999999,4.331,-97.71588564692013,Yes,No Usage,Stable
ILAUNTM,6032.0,12188.961538461535,10223,120.94874481864424,0.6285197104568131,11.189,102.07164354213423,Yes,Very High Usage,High Growth
ILBEWCB,35.0,83.46153846153847,70,16.0610158,0.7554571428571428,7.788,138.46153846153848,No,Very Low Usage,Stable
ILECKER,529.0,480.5,403,33.68207677915633,0.5330471464019851,6.883,-9.168241965973536,No,Low Usage,Stable
ILGPSVC,-,5.961538461538462,5,0.0,0.1036,0.493,-,No,No Usage,New Customer
ILHAS,-,5.961538461538462,5,0.0,0.6352,3.152,-,No,No Usage,New Customer
ILHEART,-,13.115384615384617,11,0.0,0.8951818181818182,6.248,-,No,No Usage,New Customer
ILHRCTR,-,5.961538461538462,5,0.0,0.6759999999999999,3.347,-,No,No Usage,New Customer
ILLSS,-,5.961538461538462,5,0.0,0.3832,1.868,-,No,No Usage,New Customer
ILOMNIY,1798.0,1322.2692307692307,1109,55.42474373309288,0.5819125338142471,9.785,-26.458885941644567,No,Medium Usage,Negative Growth
ILPILRS,83.0,282.57692307692304,237,35.20122047257384,0.6273544303797468,6.045,240.45412418906392,Yes,Very Low Usage,High Growth
ILSAFRF,-,5.961538461538462,5,0.0,2.6136,13.044,-,No,No Usage,New Customer
ILSOSUB,-,5.961538461538462,5,0.0,0.2132,1.037,-,No,No Usage,New Customer
ILSRTCN,94.0,5.961538461538462,5,0.0,0.6138,3.042,-93.65793780687397,No,No Usage,Stable
INDCTR,2352.0,2144.9615384615386,1799,25.46991585936632,0.5092790439132852,10.155,-8.802655677655673,No,Medium Usage,Stable
INVOAOH,752.0,838.1923076923077,703,118.67620604836416,1.3114139402560454,10.369,11.461743044189857,No,Medium Usage,Stable
INYTHOC,-,13.115384615384617,11,0.0,0.2836363636363636,2.24,-,No,No Usage,New Customer
ISAOH,1869.0,394.6538461538461,331,225.7090162326284,1.7540362537764351,19.923,-78.88422438984236,Yes,Very Low Usage,Negative Growth
JEVSHS,-,5.961538461538462,5,0.0,0.516,2.558,-,No,No Usage,New Customer
KSCKMHC,2412.0,2010.230769230769,1686,44.855032280545664,0.6042170818505338,7.579,-16.657099119785695,No,Medium Usage,Negative Growth
KSFND,-,5.961538461538462,5,0.0,1.334,6.642,-,No,No Usage,New Customer
KYADANT,-,106.1153846153846,89,17.889451764044946,0.6177078651685393,3.06,-,No,Very Low Usage,New Customer
KYCHONK,1969.0,2592.076923076923,2174,80.02928360395583,0.8754236430542779,9.744,31.644333320310963,Yes,Medium Usage,Medium Growth
KYLIFSK,8373.0,5252.115384615385,4405,94.42307363586832,0.6701073779795687,11.428,-37.273194976527115,Yes,Very High Usage,Negative Growth
KYMRYHT,69.0,362.46153846153845,304,9.402237953947369,0.4195723684210526,6.746,425.3065774804905,Yes,Low Usage,High Growth
KYREDWD,-,5.961538461538462,5,0.0,0.5866,2.902,-,No,No Usage,New Customer
KYSELFR,2413.0,1967.307692307692,1650,213.73901754181816,1.981351515151515,25.242,-18.470464471293322,No,Medium Usage,Negative Growth
LAAAHSD,3245.0,3944.153846153846,3308,59.41819910973398,0.7137726723095525,10.984,21.545573070996802,No,High Usage,Low Growth
LABCMHOLD,3797.0,4248.192307692308,3563,45.41970961156329,0.4242152680325568,8.288,11.882862988999412,No,High Usage,Stable
LACAHSD,1464.0,2857.9615384615386,2397,50.18225851105549,0.7236700041718815,13.0,95.21595208070619,Yes,Medium Usage,High Growth
LARMSRV,67.0,5.961538461538462,5,0.0,0.1726,0.839,-91.10218140068886,No,No Usage,Stable
LAURL,-,5.961538461538462,5,0.0,0.6272,3.11,-,No,No Usage,New Customer
LAVOASL,905.0,1622.7307692307693,1361,26.79663228361499,0.3853651726671565,12.813,79.30726731831705,Yes,Medium Usage,High Growth
LHSET,-,5.961538461538462,5,0.0,1.3794,6.85,-,No,No Usage,New Customer
LIFECARE,10067.0,10325.384615384615,8660,120.92873654838336,0.8810680138568129,65.904,2.566649601515995,No,Very High Usage,Stable
MABOSTN,170.0,95.3846153846154,80,12.567294125,0.5883625,3.837,-43.89140271493213,Yes,Very Low Usage,Stable
MACRJ,1200.0,642.6538461538461,539,49.15016554359926,0.6703840445269017,9.292,-46.44551282051283,Yes,Low Usage,Negative Growth
MAGADRA,14.0,252.7692307692308,212,122.3200809245283,2.2653066037735847,21.319,1705.4945054945056,Yes,Very Low Usage,High Growth
MAHILEC,-,5.961538461538462,5,0.0,1.6654,8.299,-,No,No Usage,New Customer
MAINSHR,-,64.38461538461539,54,40.14811798148149,0.6717962962962963,5.622,-,No,Very Low Usage,New Customer
MALCFTD,-,5.961538461538462,5,0.0,0.8754,4.349,-,No,No Usage,New Customer
MALUKCC,718.0,1794.423076923077,1505,84.91770611760798,0.6865235880398671,9.954,149.91964859652882,Yes,Medium Usage,High Growth
MAMENT,-,5.961538461538462,5,0.0,0.0576,0.267,-,No,No Usage,New Customer
MAMENTR,-,5.961538461538462,5,0.0,0.493,2.433,-,No,No Usage,New Customer
MAPINEI,-,13.115384615384617,11,0.0,1.3018181818181818,12.655,-,No,No Usage,New Customer
MARIVCC,954.0,1096.923076923077,920,65.91310535543478,1.0546467391304348,42.366,14.981454604096111,No,Medium Usage,Stable
MASMDOC,160.0,423.2692307692308,355,24.13323935774648,0.5444788732394366,4.222,164.54326923076923,Yes,Very Low Usage,High Growth
MASTANN,398.0,186.0,156,44.50390776282051,0.4869679487179487,4.739,-53.266331658291456,Yes,Very Low Usage,Negative Growth
MASTPST,511.0,989.6153846153846,830,24.98978234819277,0.4282204819277108,4.631,93.66250188167997,Yes,Low Usage,High Growth
MAUMSMH,4278.0,4285.153846153846,3594,77.44521993322205,0.8946135225375627,47.24,0.16722408026754873,No,High Usage,Stable
MAVOLAM,141.0,13.115384615384617,11,0.0,1.3466363636363636,8.754,-90.69830878341517,Yes,No Usage,Stable
MAWYFSN,7.0,5.961538461538462,5,0.0,1.4814,7.335,-14.835164835164832,No,No Usage,Stable
MAYOUIN,1221.0,730.8846153846154,613,55.15037046818923,0.7311402936378467,8.582,-40.140490140490144,Yes,Low Usage,Negative Growth
MCCA,-,5.961538461538462,5,0.0,1.9084,9.511,-,No,No Usage,New Customer
MDJWSCS,4631.0,3683.038461538461,3089,63.53188569148592,0.5662405309161541,9.139,-20.469910137368572,No,High Usage,Negative Growth
MEOCMHS,310.0,1761.0384615384614,1477,205.751636830738,0.9360324983073798,10.58,468.07692307692304,Yes,Medium Usage,High Growth
MERIDIAN,1962.0,1805.1538461538464,1514,360.9765297252312,3.678577939233818,123.296,-7.994197443738726,No,Very High Usage,Stable
MHSDL,550.0,609.2692307692307,511,23.289205211350296,0.433679060665362,6.91,10.776223776223768,No,Low Usage,Stable
MIALLIANCE,-,135.92307692307693,114,114.63450701754388,3.956122807017544,23.977,-,No,Very Low Usage,New Customer
MIHLYCS,7129.0,7128.807692307692,5979,10.753632931928417,0.1806228466298712,10.745,-0.002697540921694801,No,Very High Usage,Stable
MIKCC,-,5.961538461538462,5,0.0,2.1874,10.915,-,No,No Usage,New Customer
MIWLSLS,164.0,616.4230769230769,517,116.33101393810443,2.1315551257253382,37.128,275.86772983114446,Yes,Low Usage,High Growth
MLSTN,11813.0,27223.96153846154,22833,111.57032238584505,1.0265919502474488,1412.439,130.4576444464703,Yes,Extremely High Usage,High Growth
MNCHOSC,19.0,13.115384615384617,11,0.0,1.2769090909090908,8.219,-30.971659919028344,No,No Usage,Stable
MNHDC,154.0,146.65384615384616,123,300.4290397723577,1.770910569105691,16.028,-4.770229770229766,No,Very Low Usage,Stable
MNHWEHS,11007.0,11311.423076923076,9487,91.50477776673344,0.8024177295246127,16.546,2.7657225122474443,No,Very High Usage,Stable
MNNHCFS,-,11.923076923076923,10,0.0,1.1582,10.03,-,No,No Usage,New Customer
MNNPMHC,342.0,177.65384615384616,149,6.582832912751678,0.337724832214765,4.12,-48.05443094916779,Yes,Very Low Usage,Negative Growth
MOARCOA,2594.0,2112.769230769231,1772,24.927509231376973,0.6128865688487585,8.593,-18.551687325781383,No,Medium Usage,Negative Growth
MOARTHURCTR,-,5.961538461538462,5,0.0,1.0234,5.091,-,No,No Usage,New Customer
MOBCSVS,285.0,294.5,247,81.39644464372469,0.7368421052631579,6.061,3.3333333333333335,No,Very Low Usage,Stable
MOBHR,19639.0,22123.26923076923,18555,99.45269220894636,0.6838179466451092,38.815,12.649672746928205,No,Extremely High Usage,Stable
MOFGCBH,60295.0,60656.269230769234,50873,35.2989897692096,0.2578453207005681,20.92,0.5991694680640752,No,Extremely High Usage,Stable
MOGRCTR,-,5.961538461538462,5,0.0,1.3254,6.601,-,No,No Usage,New Customer
MONCMMH,989.0,1011.076923076923,848,25.891018113207547,0.7904504716981132,12.553,2.2322470249669344,No,Low Usage,Stable
MOPREFH,23736.0,33339.307692307695,27962,100.35146982275948,0.9856231313926042,43.37,40.458829172175996,Yes,Extremely High Usage,Medium Growth
MOQOPC,656.0,527.0,442,101.29864116289592,0.969153846153846,16.501,-19.664634146341463,No,Low Usage,Negative Growth
MOREDIS,1599.0,587.8076923076923,493,85.9552133245436,1.1300324543610547,12.75,-63.239043633039884,Yes,Low Usage,Negative Growth
MOSBH,19073.0,10122.692307692309,8490,82.55913576772674,0.7398133097762073,16.68,-46.926585709157926,Yes,Very High Usage,Negative Growth
MSCANPY,1478.0,1513.0384615384614,1269,52.57551835460993,0.8235665878644602,31.626,2.370667221817418,No,Medium Usage,Stable
MTHFH,-,164.53846153846152,138,17.385473557971014,0.5037101449275362,8.643,-,No,Very Low Usage,New Customer
MTWAIN,24.0,5.961538461538462,5,0.0,0.235,1.147,-75.16025641025642,No,No Usage,Stable
NCOMM,191.0,5.961538461538462,5,0.0,0.3823999999999999,1.886,-96.87877567458719,Yes,No Usage,Stable
NECHN,59.0,251.57692307692307,211,45.09359443127962,0.7277867298578199,9.144,326.4015645371577,Yes,Very Low Usage,High Growth
NJBNNBR,-,5.961538461538462,5,0.0,1.2302,6.128,-,No,No Usage,New Customer
NJCBH,2092.0,2773.3076923076924,2326,85.7349408766122,0.8687141014617369,115.008,32.567289307251066,Yes,Medium Usage,Medium Growth
NJCFGHN,-,382.7307692307692,321,128.0571069906542,1.003532710280374,12.73,-,No,Low Usage,New Customer
NJCMMAU,886.0,137.1153846153846,115,58.58988913043478,0.869191304347826,6.312,-84.5242229553742,Yes,Very Low Usage,Negative Growth
NJCTS,-,5.961538461538462,5,0.0,1.0462,5.206,-,No,No Usage,New Customer
NJFSH,-,5.961538461538462,5,0.0,1.3048,6.497,-,No,No Usage,New Customer
NJJFCHS,-,5.961538461538462,5,0.0,1.2728,6.338,-,No,No Usage,New Customer
NJJFSCN,-,5.961538461538462,5,0.0,1.3318,6.633,-,No,No Usage,New Customer
NJJHI,-,5.961538461538462,5,0.0,1.0578,5.253,-,No,No Usage,New Customer
NJJWFCS,-,5.961538461538462,5,0.0,1.5262,7.562,-,No,No Usage,New Customer
NJMHC,-,5.961538461538462,5,0.0,0.6976,3.455,-,No,No Usage,New Customer
